department,allocation_ratio,allocation_percent,building_name_allocation,b_code,meter_id,include_in_dashboard,source_sheet
อบฟ.,0.16666666666666666,16.666666666666664,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.95,95.0,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,T.0014,T.0014__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,1.0,100.0,ท.0016 อาคารปฏิบัติการเคมี 1 อคม.,T.0016,T.0016__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,1.0,100.0,ท.0018 อาคารศูนย์มาตรวิทยาและสอบเทียบเครื่องมือวัด,T.0018,T.0018__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,1.0,100.0,ท.0019 ชั้นที่ 6 อบฟ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบแสงสว่าง 6,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 6/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 6/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 6,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,1.0,100.0,ท.0019 ชั้นที่ 7 อบฟ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบแสงสว่าง 7,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 7/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 7/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 7,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.5,50.0,"ท.0019 ชั้นที่ 5 อคม.,อบฟ.",T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบแสงสว่าง 5,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/1,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/2,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อบฟ.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 5,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
อคม.,0.16666666666666666,16.666666666666664,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อคม.,1.0,100.0,ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2,T.0015,T.0015__FL01__MDB,True,MeterData2569รายเดือน(แยกฝ่าย)
อคม.,0.5,50.0,"ท.0019 ชั้นที่ 5 อคม.,อบฟ.",T.0019,T.0019__FL01__Main,True,MeterData2569รายเดือน(แยกฝ่าย)
อคม.,0.0,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบแสงสว่าง 5,T.0019,T.0019__FL01__Main,False,MeterData2569รายเดือน(แยกฝ่าย)
