วันที่เติมน้ำมัน (ตามใบเสร็จ),ฝ่าย1,กอง,แผนก,ประเภทน้ำมัน,จำนวนน้ำมันที่เติม,ราคาน้ำมันที่จ่าย,ทะเบียนรถ,เลขข้างรถ,ยืนยัน
2026-04-03,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,60.682,2900,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-04-30,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,53.935,2200,1นช4067 กทม.,07-12271 ชธธ.,ยืนยัน
2026-05-04,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,24.03,1000,1นช4354 กทม.,07-12298 ชธธ.,ยืนยัน
2026-05-03,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,53.36,2200,1นช4354 กทม.,07-12298 ชธธ.,ยืนยัน
2026-05-01,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,51.408,2100,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-04-30,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,53.84,2200,1นช4007 กทม.,07-12222 ชธธ.,ยืนยัน
2026-05-21,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,18.908,800,1นช4017 กทม.,07-12230 ชธธ.,ยืนยัน
2026-05-20,อบย.,กบร-ธ.,หบร-ธ.,ดีเซล,56.378,2400,1นช4085 กทม,07-12282 ชธธ.,ยืนยัน
2026-05-21,อบย.,กบร-ธ.,หบร-ธ.,ดีเซล,40.237,1700,1นช4085 กทม.,07-12282 ชธธ.,ยืนยัน
2026-05-22,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,37.87,1600,1นญ7214 กทม.,07-12701 พน.,ยืนยัน
2026-05-21,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,60.98,2600,1นญ7214 กทม.,07-12701 พน.,ยืนยัน
2026-05-20,อบย.,กคข-ธ.,หทข-ธ.,ดีเซล,54.438,2300,1นช4048 กทม.,07-12257 ชธธ.,ยืนยัน
2026-05-14,ชธธ.,กบคธ-ธ.,หบฟร-ธ.,ดีเซล,49.87,2100,1นช 4017 กทม.,07-12230 ชธธ.,ยืนยัน
2026-05-07,ชธธ.,กบคธ-ธ,หบฟร-ธ,ดีเซล,51.408,2100,1นช4034 กทม.,07-12245 ชธธ.,ยืนยัน
2026-05-15,ชธธ.,กบคธ-ธ.,หบฟร-ธ.,ดีเซล,57.901,2400,1นช 4017 กทม.,07-12230 ชธธ.,ยืนยัน
2026-05-05,อบย.,กบร-ธ.,หบฟ3-ธ.,ดีเซล,60.84,2500,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-19,อบย.,กบร-ธ.,หบฟ3-ธ.,ดีเซล,53.89,2300,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-06,อบย.,กบร-ธ.,หบฟ3-ธ.,ดีเซล,46.027,1900,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-15,อบย.,กบร-ธ.,หบฟ3-ธ.,ดีเซล,45.31,1900,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-11,อบย.,กบร-ธ.,หบฟ3-ธ.,ดีเซล,56.89,2300,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-20,อบย.,กบร-ธ.,หบฟ3-ธ.,ดีเซล,52.071,2200,1นช4082 กทม.,07-12280 ชธธ.,ยืนยัน
2026-05-22,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,33.136,1400,1นช4038 กทม.,07-12249 ชธธ.,ยืนยัน
2026-05-26,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,47.904,2000,1นช4065 กทม.,07-12269 ชธธ.,ยืนยัน
2026-05-27,ชธธ.,กบคธ-ธ.,หบฟรร-ธ.,ดีเซล,41.152,1700,1นช4065 กทม.,07-12269 ชธธ.,ยืนยัน
2026-05-11,ชธธ.,กบห-ธ.,หบย-ธ.,ดีเซล,47.24,1900,1นช4072 กทม.,07-12274 ชธธ.,ยืนยัน
2026-05-25,อบย.,กคข-ธ.,-,ดีเซล,46.92,2000,1นช4078 กทม.,07-12276 ชธธ.,ยืนยัน
2026-05-27,อบย.,กคข-ธ.,-,ดีเซล,48.18,2000,1นช4078 กทม.,07-12276 ชธธ.,ยืนยัน
2026-05-28,อบย.,กคข-ธ.,-,ดีเซล,43.636,1800,1นช4078 กทม.,07-12276 ชธธ.,ยืนยัน
